iso3,date,obesity_prevalence,diabetes_treatment,polluting_cooking_fuels,hypertension_treatment,mean_years_schooling,expected_years_schooling,alcohol_consumption,life_expectancy
ALB,2007,15.235433999999998,47.360414,41.65,26.0,8.9595,12.7665,10.337709116,77.549
ALB,2008,15.655772,48.203149499999995,39.1,26.65,8.984166666666667,12.916083333333331,10.5801534085,77.653
ALB,2009,16.091001,49.048824499999995,36.725,27.25,9.114666666666666,13.049583333333333,10.486885843,77.781
ALB,2010,16.54206,49.9060185,34.8,27.8,9.278166666666666,13.804833333333333,10.4133604,77.936
ALB,2011,17.007044,50.770612,32.65,28.299999999999997,9.442,14.574916666666669,9.9337143265,78.092
ALB,2012,17.488565,51.639375,30.6,28.85,9.652416666666667,15.277666666666669,9.601394423,78.064
ALB,2013,17.9856655,52.511483,28.9,29.3,9.638666666666667,15.461916666666667,9.115292058,78.123
ALB,2014,18.501144,53.3850345,27.2,29.7,9.625,15.66175,9.0474831655,78.407
ALB,2015,19.0400785,54.255748,25.700000000000003,30.1,9.61175,15.305083333333334,9.057333579,78.644
ALB,2016,19.599706,55.1164775,24.2,30.5,9.5985,14.824583333333337,9.1408060055,78.86
ALB,2017,20.174851500000003,55.956280500000005,22.9,30.85,9.58575,14.67175,9.145421608,79.047
ALB,2018,20.7613745,56.764686,21.75,31.15,9.631833333333336,14.462916666666668,9.1166749695,79.184
ALB,2019,21.361374,57.543382,20.4,31.5,9.678083333333332,14.529666666666666,9.1166749695,79.282
ALB,2020,21.9812475,58.2975295,19.2,34.85,9.724416666666666,14.129833333333332,8.150806519500001,76.989
ALB,2021,22.624018,59.0238215,18.25,34.85,9.724416666666666,13.94975,11.3269366655,76.463
ALB,2022,23.289872000000003,59.7160725,17.175,34.85,9.724416666666666,13.869166666666668,11.3269366655,76.833
ARG,2000,18.223323,44.7199375,12.05,32.55,8.6835,15.580666666666666,9.4473442965,73.926
ARG,2001,18.8293245,45.4012245,10.65,33.6,8.749833333333333,16.194666666666667,9.4473442965,74.186
ARG,2002,19.435364,46.0684165,9.55,34.75,9.267166666666666,16.280666666666665,8.7364247865,74.408
ARG,2003,20.0443145,46.720667500000005,8.4,35.849999999999994,9.784333333333334,16.155333333333335,8.314131721,74.08
ARG,2004,20.6609965,47.346734999999995,7.35,36.95,9.875,16.187833333333334,8.438308536,74.855
ARG,2005,21.286248,47.941841,6.550000000000001,37.95,9.965666666666666,15.909166666666666,8.706229221000001,75.139
ARG,2006,21.922972,48.492888,5.75,38.9,10.056166666666668,16.0635,9.260178393,75.433
ARG,2007,22.575356,49.008225,4.95,39.7,10.1625,16.078833333333332,9.731207142,75.006
ARG,2008,23.2468695,49.5011375,4.2,40.45,10.268833333333331,16.27,10.0606772135,75.641
ARG,2009,23.9430175,49.975556,3.75,41.1,10.404,16.596,10.265111583,75.936
ARG,2010,24.667319,50.427808,3.25,41.6,10.459833333333334,16.912666666666667,10.564888493,75.721
ARG,2011,25.422236,50.868737499999995,2.9499999999999997,42.0,10.5585,17.146,11.0726313195,76.124
ARG,2012,26.205547000000003,51.3062895,2.45,42.3,10.6375,17.1335,11.4139504615,76.467
ARG,2013,27.01689,51.7321675,2.25,42.45,10.7405,17.147666666666666,11.499882015,76.491
ARG,2014,27.8568135,52.1492155,1.9,42.5,10.749166666666667,17.350333333333335,11.674210721,76.755
ARG,2015,28.724356,52.547635,1.8,42.45,10.753333333333332,17.52716666666667,11.599722949499998,76.76
ARG,2016,29.617821999999997,52.9214755,1.6,42.3,10.7585,17.814,11.6259452305,76.308
ARG,2017,30.5300755,53.2740015,1.4,42.150000000000006,10.840833333333334,17.814,11.298388482,76.833
ARG,2018,31.4551505,53.608267,1.3,41.900000000000006,10.922833333333337,17.840666666666667,10.916166646,76.999
ARG,2019,32.3975115,53.926685500000005,1.15,41.7,10.937333333333331,17.98966666666667,10.916166646,77.284
ARG,2020,33.357324000000006,54.2328205,1.15,34.85,10.952,18.0,10.935513642,75.892
ARG,2021,34.3336295,54.5390155,1.0,34.85,10.952,18.0,11.3269366655,75.39
ARG,2022,35.326767000000004,54.832497,0.95,34.85,10.952,18.0,11.3269366655,76.064
ARM,2000,14.4914363,20.564872,25.6,20.75,10.173,10.484,7.669623603,70.624
ARM,2001,14.8568714,20.8150135,22.2,21.5,10.16309090909091,10.254181818181818,7.669623603,70.932
ARM,2002,15.2312204,21.086675,18.95,22.3,10.223181818181818,10.27918181818182,7.718187589999999,71.018
ARM,2003,15.61354415,21.382606000000003,16.15,23.0,10.283454545454545,10.304363636363636,8.241536311,71.436
ARM,2004,16.0035668,21.696924000000003,13.7,23.799999999999997,10.343545454545454,10.32981818181818,9.032809479,71.421
ARM,2005,16.39979055,22.0296695,11.5,24.5,10.403636363636364,10.560636363636364,9.63191408,71.792
ARM,2006,16.8009961,22.384639,9.75,25.200000000000003,10.463727272727272,10.987363636363638,9.8030006995,71.987
ARM,2007,17.2091305,22.7624055,8.200000000000001,25.75,10.523727272727273,11.547363636363636,9.6725419615,72.327
ARM,2008,17.622197,23.166226,6.8500000000000005,26.25,10.583727272727272,11.309363636363637,9.6798545135,72.398
ARM,2009,18.0394055,23.5950665,5.95,26.65,10.643545454545452,11.811636363636364,9.8077960385,72.813
ARM,2010,18.4562835,24.047608,5.15,26.950000000000003,10.703636363636363,11.98509090909091,9.8834628185,73.16
ARM,2011,18.873675,24.52206,4.5,27.2,10.781363636363636,12.132545454545454,9.7966313635,73.305
ARM,2012,19.291798,25.012775,3.9,27.4,10.882090909090907,12.273545454545456,9.5730494665,73.454
ARM,2013,19.7103005,25.5036785,3.5,27.450000000000003,10.983090909090908,12.414727272727276,9.6148299575,73.676
ARM,2014,20.1275345,26.0000025,3.15,27.5,11.084363636363635,12.705454545454543,9.663379467,74.058
ARM,2015,20.545525,26.4941485,2.8,27.55,11.185363636363636,12.780727272727272,9.6364122775,74.436
ARM,2016,20.9656855,26.9783425,2.5500000000000003,27.6,11.30909090909091,13.026545454545454,9.467266412,74.664
ARM,2017,21.379479,27.460929,2.35,27.55,10.823363636363636,13.250454545454543,9.417179154,74.906
ARM,2018,21.7866035,27.9469905,2.15,27.6,10.869272727272728,13.474454545454543,9.6294579875,75.064
ARM,2019,22.195403,28.447035,1.975,27.7,10.915454545454544,13.647363636363638,9.6294579875,75.439
ARM,2020,22.6127565,28.958477,1.7999999999999998,34.85,10.961454545454544,13.724454545454543,8.498027408999999,72.173
ARM,2021,23.0403445,29.481457,1.65,34.85,10.961454545454544,14.068090909090907,11.3269366655,72.043
ARM,2022,23.4794955,30.0161345,1.5,34.85,10.961454545454544,14.043818181818182,11.3269366655,73.372
AUS,2000,19.480402,51.592183000000006,0.0,46.650000000000006,11.302,18.0,12.8480871305,78.944125
AUS,2001,20.1421395,52.3929625,0.0,48.0,11.358125,18.0,12.8480871305,79.334625
AUS,2002,20.783031,53.2121865,0.0,49.3,11.41425,18.0,12.761421702,79.397125
AUS,2003,21.400526,54.032874,0.0,50.55,11.470625,18.0,12.8551045055,79.855875
AUS,2004,21.9901105,54.8279795,0.0,51.75,11.52675,18.0,13.0032584945,80.09575000000001
AUS,2005,22.5524985,55.5894465,0.0,52.85,11.562,18.0,13.1038287645,80.37537499999999
AUS,2006,23.0872135,56.306961,0.0,53.65,11.659125,18.0,13.337882688,80.545125
AUS,2007,23.5936485,56.98080950000001,0.0,54.25,11.7265,18.0,13.477551981,80.474375
AUS,2008,24.0734955,57.634804,0.0,54.65,11.9525,18.0,13.557079177,80.766375
AUS,2009,24.523443,58.2909075,0.0,54.8,12.002125,18.0,13.528090641,81.090875
AUS,2010,24.945547,58.954954,0.0,54.8,12.049375,18.0,13.341963938,81.52325
AUS,2011,25.343694,59.6174835,0.0,54.599999999999994,12.131125,18.0,13.121782990500002,81.521125
AUS,2012,25.7326885,60.265785,0.0,54.2,12.311125,18.0,12.9097760425,81.70475
AUS,2013,26.1296795,60.897234,0.0,53.65,12.034,18.0,12.7517281755,81.933875
AUS,2014,26.541269999999997,61.4993185,0.0,52.900000000000006,12.18225,18.0,12.619991209,81.871125
AUS,2015,26.9722015,62.0709565,0.0,52.05,12.261,18.0,12.549688117,81.930375
AUS,2016,27.42268,62.6175495,0.0,51.2,12.3675,18.0,12.403888673,82.11775
AUS,2017,27.8827595,63.137588,0.0,50.150000000000006,12.438,18.0,12.332827691,82.211625
AUS,2018,28.344623499999997,63.6324285,0.0,49.150000000000006,12.5695,18.0,12.216550175,82.657875
AUS,2019,28.807448,64.1026495,0.0,48.1,12.672375,18.0,12.216550175,82.498
AUS,2020,29.279065,64.5510345,0.0,34.85,12.742625,18.0,12.4215624845,83.80525
AUS,2021,29.7609405,64.9766535,0.0,34.85,12.742625,18.0,11.3269366655,84.005875
AUS,2022,30.2528885,65.370646,0.0,34.85,12.742625,18.0,11.3269366655,83.06475
AUT,2000,11.9382095,40.6731575,0.0,38.900000000000006,11.050222222222224,14.859666666666666,15.9407284205,78.45822222222222
AUT,2001,12.2227385,41.661289,0.0,40.4,11.150444444444444,14.928555555555556,15.9407284205,78.89011111111111
AUT,2002,12.4978145,42.66735,0.0,41.849999999999994,11.237444444444444,14.992,15.6323895495,79.06811111111112
AUT,2003,12.7605925,43.687737,0.0,43.349999999999994,11.335111111111113,15.055444444444444,15.4968203605,79.07766666666667
